	1	2	3	4	5	6	Label
0	63.03	22.55	39.61	40.48	98.67	-0.25	0
1	39.06	10.06	25.02	29.0	114.41	4.56	0
2	68.83	22.22	50.09	46.61	105.99	-3.53	0
3	69.3	24.65	44.31	44.64	101.87	11.21	0
4	49.71	9.65	28.32	40.06	108.17	7.92	0
5	40.25	13.92	25.12	26.33	130.33	2.23	0
6	53.43	15.86	37.17	37.57	120.57	5.99	0
7	45.37	10.76	29.04	34.61	117.27	-10.68	0
8	43.79	13.53	42.69	30.26	125.0	13.29	0
9	36.69	5.01	41.95	31.68	84.24	0.66	0
10	49.71	13.04	31.33	36.67	108.65	-7.83	0
11	31.23	17.72	15.5	13.52	120.06	0.5	0
12	48.92	19.96	40.26	28.95	119.32	8.03	0
13	53.57	20.46	33.1	33.11	110.97	7.04	0
14	57.3	24.19	47.0	33.11	116.81	5.77	0
15	44.32	12.54	36.1	31.78	124.12	5.42	0
16	63.83	20.36	54.55	43.47	112.31	-0.62	0
17	31.28	3.14	32.56	28.13	129.01	3.62	0
18	38.7	13.44	31.0	25.25	123.16	1.43	0
19	41.73	12.25	30.12	29.48	116.59	-1.24	0
20	43.92	14.18	37.83	29.74	134.46	6.45	0
21	54.92	21.06	42.2	33.86	125.21	2.43	0
22	63.07	24.41	54.0	38.66	106.42	15.78	0
23	45.54	13.07	30.3	32.47	117.98	-4.99	0
24	36.13	22.76	29.0	13.37	115.58	-3.24	0
25	54.12	26.65	35.33	27.47	121.45	1.57	0
26	26.15	10.76	14.0	15.39	125.2	-10.09	0
27	43.58	16.51	47.0	27.07	109.27	8.99	0
28	44.55	21.93	26.79	22.62	111.07	2.65	0
29	66.88	24.89	49.28	41.99	113.48	-2.01	0
30	50.82	15.4	42.53	35.42	112.19	10.87	0
31	46.39	11.08	32.14	35.31	98.77	6.39	0
32	44.94	17.44	27.78	27.49	117.98	5.57	0
33	38.66	12.99	40.0	25.68	124.91	2.7	0
34	59.6	32.0	46.56	27.6	119.33	1.47	0
35	31.48	7.83	24.28	23.66	113.83	4.39	0
36	32.09	6.99	36.0	25.1	132.26	6.41	0
37	35.7	19.44	20.7	16.26	137.54	-0.26	0
38	55.84	28.85	47.69	27.0	123.31	2.81	0
39	52.42	19.01	35.87	33.41	116.56	1.69	0
40	35.49	11.7	15.59	23.79	106.94	-3.46	0
41	46.44	8.4	29.04	38.05	115.48	2.05	0
42	53.85	19.23	32.78	34.62	121.67	5.33	0
43	66.29	26.33	47.5	39.96	121.22	-0.8	0
44	56.03	16.3	62.28	39.73	114.02	-2.33	0
45	50.91	23.02	47.0	27.9	117.42	-2.53	0
46	48.33	22.23	36.18	26.1	117.38	6.48	0
47	41.35	16.58	30.71	24.78	113.27	-4.5	0
48	40.56	17.98	34.0	22.58	121.05	-1.54	0
49	41.77	17.9	20.03	23.87	118.36	2.06	0
50	55.29	20.44	34.0	34.85	115.88	3.56	0
51	74.43	41.56	27.7	32.88	107.95	5.0	0
52	50.21	29.76	36.1	20.45	128.29	5.74	0
53	30.15	11.92	34.0	18.23	112.68	11.46	0
54	41.17	17.32	33.47	23.85	116.38	-9.57	0
55	47.66	13.28	36.68	34.38	98.25	6.27	0
56	43.35	7.47	28.07	35.88	112.78	5.75	0
57	46.86	15.35	38.0	31.5	116.25	1.66	0
58	43.2	19.66	35.0	23.54	124.85	-2.92	0
59	48.11	14.93	35.56	33.18	124.06	7.95	0
60	74.38	32.05	78.77	42.32	143.56	56.13	0
61	89.68	32.7	83.13	56.98	129.96	92.03	0
