	Mcg	 Gvh	 Lip	 Chg	 Aac	 Alm1	 Alm2	label
68	0.25	0.37	0.48	0.5	0.43	0.26	0.36	0
69	0.35	0.48	0.48	0.5	0.56	0.4	0.48	0
70	0.26	0.26	0.48	0.5	0.34	0.25	0.35	0
71	0.44	0.51	0.48	0.5	0.47	0.26	0.36	0
72	0.37	0.5	0.48	0.5	0.42	0.36	0.45	0
73	0.44	0.42	0.48	0.5	0.42	0.25	0.2	0
74	0.24	0.43	0.48	0.5	0.37	0.28	0.38	0
75	0.42	0.3	0.48	0.5	0.48	0.26	0.36	0
76	0.48	0.42	0.48	0.5	0.45	0.25	0.35	0
77	0.41	0.48	0.48	0.5	0.51	0.44	0.51	0
78	0.44	0.28	0.48	0.5	0.43	0.27	0.37	0
79	0.29	0.41	0.48	0.5	0.48	0.38	0.46	0
80	0.34	0.28	0.48	0.5	0.41	0.35	0.44	0
81	0.41	0.43	0.48	0.5	0.45	0.31	0.41	0
82	0.29	0.47	0.48	0.5	0.41	0.23	0.34	0
83	0.34	0.55	0.48	0.5	0.58	0.31	0.41	0
84	0.36	0.56	0.48	0.5	0.43	0.45	0.53	0
85	0.4	0.46	0.48	0.5	0.52	0.49	0.56	0
86	0.5	0.49	0.48	0.5	0.49	0.46	0.53	0
87	0.52	0.44	0.48	0.5	0.37	0.36	0.42	0
88	0.5	0.51	0.48	0.5	0.27	0.23	0.34	0
89	0.53	0.42	0.48	0.5	0.16	0.29	0.39	0
90	0.34	0.46	0.48	0.5	0.52	0.35	0.44	0
91	0.4	0.42	0.48	0.5	0.37	0.27	0.27	0
92	0.41	0.43	0.48	0.5	0.5	0.24	0.25	0
93	0.3	0.45	0.48	0.5	0.36	0.21	0.32	0
94	0.31	0.47	0.48	0.5	0.29	0.28	0.39	0
95	0.64	0.76	0.48	0.5	0.45	0.35	0.38	0
96	0.35	0.37	0.48	0.5	0.3	0.34	0.43	0
97	0.57	0.54	0.48	0.5	0.37	0.28	0.33	0
98	0.65	0.55	0.48	0.5	0.34	0.37	0.28	0
99	0.51	0.46	0.48	0.5	0.58	0.31	0.41	0
100	0.38	0.4	0.48	0.5	0.63	0.25	0.35	0
101	0.24	0.57	0.48	0.5	0.63	0.34	0.43	0
102	0.38	0.26	0.48	0.5	0.54	0.16	0.28	0
103	0.33	0.47	0.48	0.5	0.53	0.18	0.29	0
104	0.24	0.34	0.48	0.5	0.38	0.3	0.4	0
105	0.26	0.5	0.48	0.5	0.44	0.32	0.41	0
106	0.44	0.49	0.48	0.5	0.39	0.38	0.4	0
107	0.43	0.32	0.48	0.5	0.33	0.45	0.52	0
108	0.49	0.43	0.48	0.5	0.49	0.3	0.4	0
109	0.47	0.28	0.48	0.5	0.56	0.2	0.25	0
110	0.32	0.33	0.48	0.5	0.6	0.06	0.2	0
111	0.34	0.35	0.48	0.5	0.51	0.49	0.56	0
112	0.35	0.34	0.48	0.5	0.46	0.3	0.27	0
113	0.38	0.3	0.48	0.5	0.43	0.29	0.39	0
114	0.38	0.44	0.48	0.5	0.43	0.2	0.31	0
115	0.41	0.51	0.48	0.5	0.58	0.2	0.31	0
116	0.34	0.42	0.48	0.5	0.41	0.34	0.43	0
117	0.51	0.49	0.48	0.5	0.53	0.14	0.26	0
118	0.25	0.51	0.48	0.5	0.37	0.42	0.5	0
119	0.29	0.28	0.48	0.5	0.5	0.42	0.5	0
120	0.25	0.26	0.48	0.5	0.39	0.32	0.42	0
121	0.24	0.41	0.48	0.5	0.49	0.23	0.34	0
122	0.17	0.39	0.48	0.5	0.53	0.3	0.39	0
123	0.04	0.31	0.48	0.5	0.41	0.29	0.39	0
124	0.61	0.36	0.48	0.5	0.49	0.35	0.44	0
125	0.34	0.51	0.48	0.5	0.44	0.37	0.46	0
126	0.28	0.33	0.48	0.5	0.45	0.22	0.33	0
127	0.4	0.46	0.48	0.5	0.42	0.35	0.44	0
128	0.23	0.34	0.48	0.5	0.43	0.26	0.37	0
129	0.37	0.44	0.48	0.5	0.42	0.39	0.47	0
130	0.0	0.38	0.48	0.5	0.42	0.48	0.55	0
131	0.39	0.31	0.48	0.5	0.38	0.34	0.43	0
132	0.3	0.44	0.48	0.5	0.49	0.22	0.33	0
133	0.27	0.3	0.48	0.5	0.71	0.28	0.39	0
134	0.17	0.52	0.48	0.5	0.49	0.37	0.46	0
