	RI	 Na	 Mg	 Al	 Si	 K	 Ca	 Ba	 Fe	Label
19	1.51761952	12.79815	3.65935	1.26905	73.0076	0.60237	8.56116	0.0	0.0	0
20	1.51750562	12.81145	3.56955	1.3493	73.0188	0.621	8.59344	0.0	0.0	0
21	1.51782454	12.69175	3.53812	1.33967	72.9516	0.57132	8.75484	0.0	0.0	0
22	1.51793844	12.7915	3.5022	1.12139	73.03	0.63963	8.7656	0.0	0.0	0
23	1.51837126	13.1373	2.84217	1.27868	72.8508	0.55269	9.06688	0.0	0.0	0
24	1.5215149	13.05085	3.65037	0.87101	72.218	0.19251	9.85236	0.0	0.0867	0
25	1.51595658	12.7915	3.60996	1.61894	72.9684	0.63963	8.0662	0.0	0.1326	0
26	1.51734616	13.0176	3.53812	1.68956	72.7276	0.54027	8.4428	0.0	0.0357	0
27	1.5177562	12.85135	3.47975	1.23053	72.9684	0.60858	8.56116	0.09135	0.1122	0
28	1.51777898	13.21045	3.38995	1.33004	72.7612	0.58995	8.59344	0.0	0.0	0
29	1.51755118	13.4831	3.74017	1.16954	72.9908	0.58995	8.03392	0.0	0.0	0
30	1.5215149	13.05085	3.65037	0.87101	72.3188	0.19251	9.85236	0.0	0.0867	0
31	1.51743728	13.2969	3.60098	1.14065	73.0916	0.57753	8.1738	0.0	0.0	0
32	1.515706	12.71835	3.46179	1.56116	73.198	0.67068	8.08772	0.0	0.1224	0
33	1.51720948	12.8713	3.47975	1.33004	73.0412	0.5589	8.43204	0.0	0.0	0
34	1.51910022	13.88875	3.52914	1.32041	71.8092	0.50922	8.77636	0.11025	0.0	0
35	1.51869018	13.1905	3.37199	1.17917	72.722	0.57132	8.83016	0.0	0.0816	0
36	1.52171992	13.5097	3.8614	0.88064	71.7924	0.22977	9.54032	0.0	0.0561	0
37	1.51755118	12.99765	3.60098	1.35893	72.9908	0.57132	8.39976	0.0	0.0561	0
188	1.51652608	11.94695	0.0	1.1888	75.1804	2.70135	8.927	0.0	0.0	1
189	1.52064926	14.3609	0.0	2.02019	73.422	0.0	8.4428	1.64115	0.0	1
190	1.51130946	13.68925	3.20137	1.81154	72.8116	1.75743	5.43	1.1907	0.0	1
