	RI	 Na	 Mg	 Al	 Si	 K	 Ca	 Ba	 Fe	Label
76	1.51850794	13.19715	3.62792	1.07003	72.8284	0.57132	8.41052	0.09135	0.0867	0
77	1.51812068	12.95775	2.95891	1.42955	72.918	0.60237	8.78712	0.1386	0.0	0
78	1.51645774	13.40995	3.55159	1.24979	72.8116	0.6831	8.09848	0.0	0.0	0
79	1.51629828	12.7117	3.33158	1.49054	73.282	0.67068	8.23836	0.0	0.0	0
80	1.52725546	13.8023	3.15198	0.65915	70.5716	0.08073	11.63852	0.0	0.0	0
81	1.51891798	13.46315	3.82997	1.25942	72.5484	0.57132	8.20608	0.0	0.0714	0
82	1.51871296	12.93115	3.65935	1.56116	72.5092	0.57753	8.5504	0.0	0.0612	0
83	1.52176548	13.7491	1.01025	1.35893	72.19	0.32913	11.14356	0.0	0.0	0
84	1.5162755	12.99765	3.57853	1.53869	72.8284	0.60858	8.04468	0.0	0.0	0
85	1.51618438	13.01095	3.5022	1.48091	72.89	0.60237	8.12	0.0	0.0	0
86	1.5160477	12.8979	3.43934	1.44881	73.58	0.44091	8.27064	0.0	0.0	0
87	1.5170728	13.7225	3.6818	1.81154	72.0612	0.63963	7.88328	0.0	0.0	0
88	1.51666276	12.9378	3.60996	1.25942	72.75	0.5589	8.6042	0.0	0.0	0
89	1.52613924	13.70255	0.0	1.35893	71.238	0.19251	13.43544	0.0	0.051	0
90	1.51689056	13.33015	3.53812	1.60931	72.5428	0.6831	8.10924	0.0	0.0	0
91	1.51645774	13.4432	3.60996	1.53869	72.3916	0.65826	8.03392	0.0	0.0	0
92	1.5159338	13.25035	3.44832	1.42955	73.17	0.60858	7.86176	0.0	0.0	0
93	1.51743728	12.19965	3.25076	1.15991	73.5508	0.621	8.89472	0.0	0.1224	0
94	1.52474966	11.4482	0.0	1.87895	72.19	0.8073	13.24176	0.0	0.1734	0
197	1.51645774	14.93945	0.0	1.86932	73.1084	0.0	8.66876	1.3797	0.0	1
198	1.5171867	14.75325	0.0	2.00093	73.0188	0.0	8.52888	1.59075	0.0408	1
199	1.5161616	14.95275	0.0	2.27057	73.2988	0.0	8.7118	0.67095	0.0	1
