	RI	 Na	 Mg	 Al	 Si	 K	 Ca	 Ba	 Fe	Label
131	1.51800678	13.7092	3.92875	1.53869	71.8092	0.54027	8.20608	0.0	0.0765	0
132	1.51591102	12.8181	3.52016	1.90142	72.862	0.68931	7.96936	0.0	0.0	0
133	1.5163894	12.5521	3.47975	1.86932	73.2316	0.62721	8.07696	0.0	0.459	0
134	1.51591102	13.23705	3.34056	1.47128	73.0972	0.39123	8.21684	0.0	0.0	0
135	1.51654886	12.7516	2.85115	1.43918	73.2708	0.57132	8.78712	0.11025	0.1122	0
136	1.5167311	13.2969	3.64139	1.52906	72.5316	0.65205	8.03392	0.0	0.1479	0
137	1.52176548	13.19715	3.6818	1.15028	72.75	0.54027	8.51812	0.0	0.0	0
138	1.5167311	12.8713	3.56057	1.64141	73.142	0.65205	7.99088	0.0	0.0	0
139	1.51595658	13.0176	3.56057	1.53869	73.1084	0.72036	7.9048	0.0	0.0	0
140	1.51408862	14.24785	3.08912	2.08118	72.2796	1.09917	7.07628	0.0	0.0	0
141	1.53124196	10.73	0.0	2.10044	69.81	0.57753	13.29556	3.15	0.1428	0
142	1.51846238	13.40995	3.88834	1.33004	72.3804	0.50922	8.2814	0.0	0.0	0
143	1.52067204	13.5496	2.08785	1.6703	72.1788	0.52785	9.5726	0.2709	0.0867	0
144	1.5167311	12.7915	3.52016	1.53869	73.3604	0.65826	7.9048	0.0	0.0	0
145	1.51659442	12.991	3.17892	1.23053	72.9684	0.57753	8.80864	0.0	0.1224	0
146	1.5177562	13.52965	3.40791	1.51943	72.0388	0.57753	8.78712	0.0	0.0	0
147	1.51609326	13.33015	3.52914	1.33967	72.6716	0.5589	8.3352	0.0	0.0	0
148	1.51663998	13.1373	3.44832	1.76018	72.4812	0.60237	8.37824	0.0	0.0867	0
206	1.51609326	15.126	0.0	2.51132	73.0524	0.04968	8.83016	0.5292	0.0	1
207	1.51830292	14.3875	0.0	1.82117	72.862	1.40967	6.47372	2.8791	0.0	1
208	1.51602492	14.853	0.0	2.37971	73.282	0.0	8.75484	0.63945	0.459	1
