	1	2	3	4	5	6	7	8	9	10	label
161	1	127	127	127.0	0.646	1.0	13.67	82	127	6	2
162	1	13	13	13.0	0.846	1.0	5.5	11	13	2	2
163	3	129	387	43.0	0.305	0.377	11.8	118	146	10	2
164	5	7	35	1.4	0.2	0.314	7.0	7	11	1	2
168	6	47	282	7.833	0.202	0.202	57.0	57	57	1	2
169	4	19	76	4.75	0.276	0.382	5.25	21	29	4	2
170	1	47	47	47.0	1.0	1.0	47.0	47	47	1	2
171	1	86	86	86.0	0.93	1.0	40.0	80	86	2	2
172	1	17	17	17.0	1.0	1.0	17.0	17	17	1	2
173	1	19	19	19.0	0.737	1.0	4.67	14	19	3	2
174	6	21	126	3.5	0.246	0.254	31.0	31	32	1	2
175	8	16	128	2.0	0.398	0.695	2.55	51	89	20	2
176	2	14	28	7.0	0.464	0.536	13.0	13	15	1	2
178	2	536	1072	268.0	0.505	0.512	180.33	541	549	3	2
179	2	536	1072	268.0	0.538	0.737	30.37	577	790	19	2
180	2	535	1070	267.5	0.564	0.614	40.2	603	657	15	2
181	2	536	1072	268.0	0.537	0.622	24.0	576	667	24	2
182	2	536	1072	268.0	0.498	0.533	41.08	534	571	13	2
183	2	535	1070	267.5	0.648	0.92	11.75	693	984	59	2
184	2	536	1072	268.0	0.532	0.558	30.0	570	598	19	2
185	2	535	1070	267.5	0.545	0.629	24.29	583	673	24	2
186	3	536	1608	178.67	0.341	0.353	61.0	549	567	9	2
187	3	470	1410	156.67	0.352	0.387	23.62	496	545	21	2
188	2	64	128	32.0	0.43	0.602	3.93	55	77	14	2
189	1	277	277	277.0	1.0	1.0	277.0	277	277	1	2
190	1	257	257	257.0	1.0	1.0	257.0	257	257	1	2
191	2	537	1074	268.5	0.507	0.528	181.33	544	567	3	2
192	2	537	1074	268.5	0.594	0.655	21.27	638	703	30	2
193	3	537	1611	179.0	0.345	0.405	22.24	556	652	25	2
194	2	537	1074	268.5	0.51	0.534	49.82	548	574	11	2
195	2	98	196	49.0	0.48	0.653	9.4	94	128	10	2
196	2	415	830	207.5	0.505	0.578	16.76	419	480	25	2
197	2	63	126	31.5	0.341	0.508	10.75	43	64	4	2
238	1	25	25	25.0	1.0	1.0	25.0	25	25	1	4
241	58	3	174	0.052	0.339	0.345	59.0	59	60	1	4
247	53	1	53	0.019	1.0	1.0	53.0	53	53	1	4
248	54	1	54	0.019	1.0	1.0	54.0	54	54	1	4
250	42	1	42	0.024	1.0	1.0	42.0	42	42	1	4
251	34	1	34	0.029	1.0	1.0	34.0	34	34	1	4
253	31	1	31	0.032	1.0	1.0	31.0	31	31	1	4
254	22	1	22	0.045	1.0	1.0	22.0	22	22	1	4
270	7	1	7	0.143	1.0	1.0	7.0	7	7	1	4
