	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
126	18.65	16.41	0.8698	6.285	3.594	4.391	6.102	1
127	17.98	15.85	0.8993	5.979	3.687	2.257	5.919	1
128	20.16	17.03	0.8735	6.513	3.773	1.91	6.185	1
129	17.55	15.66	0.8991	5.791	3.69	5.366	5.661	1
130	18.3	15.89	0.9108	5.979	3.755	2.837	5.962	1
131	18.94	16.32	0.8942	6.144	3.825	2.908	5.949	1
132	15.38	14.9	0.8706	5.884	3.268	4.462	5.795	1
133	16.16	15.33	0.8644	5.845	3.395	4.266	5.795	1
134	15.56	14.89	0.8823	5.776	3.408	4.972	5.847	1
135	15.38	14.66	0.899	5.477	3.465	3.6	5.439	1
136	17.36	15.76	0.8785	6.145	3.574	3.526	5.971	1
137	15.57	15.15	0.8527	5.92	3.231	2.64	5.879	1
138	15.6	15.11	0.858	5.832	3.286	2.725	5.752	1
139	16.23	15.18	0.885	5.872	3.472	3.769	5.922	1
28	14.11	14.18	0.882	5.541	3.221	2.754	5.038	0
29	13.45	14.02	0.8604	5.516	3.065	3.531	5.097	0
30	13.16	13.82	0.8662	5.454	2.975	0.8551	5.056	0
31	15.49	14.94	0.8724	5.757	3.371	3.412	5.228	0
32	14.09	14.41	0.8529	5.717	3.186	3.92	5.299	0
33	13.94	14.17	0.8728	5.585	3.15	2.124	5.012	0
34	15.05	14.68	0.8779	5.712	3.328	2.129	5.36	0
