	a1	a2	a3	a4	a5	a6	Label
134	17	52	48	49	37	46	0
135	36	42	48	53	32	41	0
136	3	37	48	43	18	3	0
137	26	4	48	36	26	37	0
138	4	41	48	55	22	33	0
139	22	34	48	42	29	39	0
140	44	35	48	44	52	59	0
141	27	42	48	37	38	43	0
142	16	43	48	54	27	37	0
143	6	61	48	49	92	37	0
144	44	52	48	43	47	54	0
145	63	47	48	51	82	84	0
146	23	48	48	59	88	89	0
147	34	49	48	58	85	8	0
148	43	4	48	58	75	78	0
149	46	61	48	48	86	87	0
150	27	35	48	51	77	79	0
151	52	39	48	65	71	73	0
152	29	47	48	71	65	69	0
153	55	47	48	57	78	8	0
154	12	67	48	74	58	63	0
155	4	5	48	65	82	84	0
156	73	36	48	53	91	92	0
157	84	44	48	48	71	74	0
158	48	45	48	6	78	8	0
159	54	49	48	4	87	88	0
160	48	41	48	51	9	88	0
161	5	66	48	31	92	92	0
162	72	46	48	51	66	7	0
163	47	55	48	58	71	75	0
164	33	56	48	33	78	8	0
165	64	58	48	48	78	73	0
166	54	57	48	56	81	83	0
167	47	59	48	52	76	79	0
168	63	5	48	59	85	86	0
169	49	42	48	53	79	81	0
170	31	5	48	57	84	85	0
171	74	44	48	55	88	89	0
172	33	45	48	45	88	89	0
173	45	4	48	61	74	77	0
174	71	4	48	71	7	74	0
175	5	37	48	66	64	69	0
176	66	53	48	59	66	66	0
177	6	61	48	54	67	71	0
178	83	37	48	61	71	74	0
179	34	51	48	67	9	9	0
180	63	54	48	65	79	81	0
181	7	4	48	56	86	83	0
182	6	5	1	54	77	8	0
183	16	51	48	33	39	48	0
184	74	7	48	66	65	69	0
185	2	46	48	57	78	81	0
186	89	55	48	51	72	76	0
187	7	46	48	56	78	73	0
188	12	43	48	63	7	74	0
189	61	52	48	54	67	52	0
190	33	37	48	46	65	69	0
191	63	65	48	66	67	71	0
192	41	51	48	53	75	78	0
193	34	67	48	52	76	79	0
194	58	34	48	56	87	81	0
195	59	56	48	55	8	82	0
196	51	4	48	57	62	67	0
197	5	57	48	71	61	66	0
198	6	46	48	45	81	83	0
199	37	47	48	39	76	79	0
