	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol	quality
828	8.8	0.3	0.38	2.3	0.06	19.0	72.0	0.99543	3.39	0.72	11.8	1
830	6.2	0.46	0.17	1.6	0.073	7.0	11.0	0.99425	3.61	0.54	11.4	1
831	7.6	0.43	0.4	2.7	0.082	6.0	11.0	0.99538	3.44	0.54	12.2	1
832	8.5	0.21	0.52	1.9	0.09	9.0	23.0	0.99648	3.36	0.67	10.4	1
833	9.0	0.36	0.52	2.1	0.111	5.0	10.0	0.99568	3.31	0.62	11.3	1
834	9.5	0.37	0.52	2.0	0.088	12.0	51.0	0.99613	3.29	0.58	11.1	1
835	8.0	0.59	0.05	2.0	0.089	12.0	32.0	0.99735	3.36	0.61	10.0	1
836	8.5	0.47	0.27	1.9	0.058	18.0	38.0	0.99518	3.16	0.85	11.1	1
837	7.1	0.56	0.14	1.6	0.078	7.0	18.0	0.99592	3.27	0.62	9.3	1
838	6.6	0.57	0.02	2.1	0.115	6.0	16.0	0.99654	3.38	0.69	9.5	1
839	8.8	0.27	0.39	2.0	0.1	20.0	27.0	0.99546	3.15	0.69	11.2	1
840	8.5	0.47	0.27	1.9	0.058	18.0	38.0	0.99518	3.16	0.85	11.1	1
841	8.3	0.34	0.4	2.4	0.065	24.0	48.0	0.99554	3.34	0.86	11.0	1
842	8.5	0.66	0.2	2.1	0.097	23.0	113.0	0.99733	3.13	0.48	9.2	1
843	9.0	0.4	0.43	2.4	0.068	29.0	46.0	0.9943	3.2	0.6	12.2	1
844	6.7	0.56	0.09	2.9	0.079	7.0	22.0	0.99669	3.46	0.61	10.2	1
845	10.4	0.26	0.48	1.9	0.066	6.0	10.0	0.99724	3.33	0.87	10.9	1
846	10.4	0.26	0.48	1.9	0.066	6.0	10.0	0.99724	3.33	0.87	10.9	1
847	8.5	0.34	0.44	1.7	0.079	6.0	12.0	0.99605	3.52	0.63	10.7	1
848	7.2	0.41	0.3	2.1	0.083	35.0	72.0	0.997	3.44	0.52	9.4	1
849	7.2	0.41	0.3	2.1	0.083	35.0	72.0	0.997	3.44	0.52	9.4	1
850	8.4	0.59	0.29	2.6	0.109	31.0	119.0	0.99801	3.15	0.5	9.1	1
851	12.2	0.45	0.49	1.4	0.075	3.0	6.0	0.9969	3.13	0.63	10.4	1
852	9.1	0.5	0.3	1.9	0.065	8.0	17.0	0.99774	3.32	0.71	10.5	1
853	9.5	0.86	0.26	1.9	0.079	13.0	28.0	0.99712	3.25	0.62	10.0	1
854	7.3	0.52	0.32	2.1	0.07	51.0	70.0	0.99418	3.34	0.82	12.9	1
855	9.1	0.5	0.3	1.9	0.065	8.0	17.0	0.99774	3.32	0.71	10.5	1
856	12.2	0.45	0.49	1.4	0.075	3.0	6.0	0.9969	3.13	0.63	10.4	1
857	7.4	0.58	0.0	2.0	0.064	7.0	11.0	0.99562	3.45	0.58	11.3	1
858	7.1	0.36	0.3	1.6	0.08	35.0	70.0	0.99693	3.44	0.5	9.4	1
859	7.7	0.39	0.12	1.7	0.097	19.0	27.0	0.99596	3.16	0.49	9.4	1
860	9.7	0.295	0.4	1.5	0.073	14.0	21.0	0.99556	3.14	0.51	10.9	1
861	7.7	0.39	0.12	1.7	0.097	19.0	27.0	0.99596	3.16	0.49	9.4	1
862	7.1	0.34	0.28	2.0	0.082	31.0	68.0	0.99694	3.45	0.48	9.4	1
863	6.5	0.4	0.1	2.0	0.076	30.0	47.0	0.99554	3.36	0.48	9.4	1
864	7.1	0.34	0.28	2.0	0.082	31.0	68.0	0.99694	3.45	0.48	9.4	1
865	10.0	0.35	0.45	2.5	0.092	20.0	88.0	0.99918	3.15	0.43	9.4	1
866	7.7	0.6	0.06	2.0	0.079	19.0	41.0	0.99697	3.39	0.62	10.1	1
867	8.9	0.84	0.34	1.4	0.05	4.0	10.0	0.99554	3.12	0.48	9.1	1
868	6.4	0.69	0.0	1.65	0.055	7.0	12.0	0.99162	3.47	0.53	12.9	1
869	8.2	0.43	0.29	1.6	0.081	27.0	45.0	0.99603	3.25	0.54	10.3	1
870	9.6	0.5	0.36	2.8	0.116	26.0	55.0	0.99722	3.18	0.68	10.9	1
871	8.9	0.32	0.31	2.0	0.088	12.0	19.0	0.9957	3.17	0.55	10.4	1
872	7.7	1.005	0.15	2.1	0.102	11.0	32.0	0.99604	3.23	0.48	10.0	1
873	7.5	0.71	0.0	1.6	0.092	22.0	31.0	0.99635	3.38	0.58	10.0	1
874	8.0	0.58	0.16	2.0	0.12	3.0	7.0	0.99454	3.22	0.58	11.2	1
875	10.5	0.39	0.46	2.2	0.075	14.0	27.0	0.99598	3.06	0.84	11.4	1
876	8.0	0.18	0.37	0.9	0.049	36.0	109.0	0.99007	2.89	0.44	12.7	1
877	8.0	0.18	0.37	0.9	0.049	36.0	109.0	0.99007	2.89	0.44	12.7	1
878	7.0	0.5	0.14	1.8	0.078	10.0	23.0	0.99636	3.53	0.61	10.4	1
879	11.3	0.36	0.66	2.4	0.123	3.0	8.0	0.99642	3.2	0.53	11.9	1
880	11.3	0.36	0.66	2.4	0.123	3.0	8.0	0.99642	3.2	0.53	11.9	1
881	7.0	0.51	0.09	2.1	0.062	4.0	9.0	0.99584	3.35	0.54	10.5	1
882	8.2	0.32	0.42	2.3	0.098	3.0	9.0	0.99506	3.27	0.55	12.3	1
883	8.6	0.83	0.0	2.8	0.095	17.0	43.0	0.99822	3.33	0.6	10.4	1
884	7.9	0.31	0.32	1.9	0.066	14.0	36.0	0.99364	3.41	0.56	12.6	1
885	6.4	0.795	0.0	2.2	0.065	28.0	52.0	0.99378	3.49	0.52	11.6	1
