	Mcg	 Gvh	 Alm	 Mit	 Erl	 Pox	 Vac	 Nuc	Label
1187	0.58	0.61	0.47	0.13	0.5	0.0	0.48	0.22	0
1188	0.43	0.67	0.48	0.27	0.5	0.0	0.53	0.22	0
1189	0.43	0.39	0.54	0.21	0.5	0.0	0.53	0.27	0
1190	0.6	0.4	0.52	0.46	0.5	0.0	0.53	0.22	0
1191	0.57	0.47	0.6	0.18	0.5	0.0	0.51	0.22	0
1192	0.63	0.67	0.57	0.24	0.5	0.0	0.49	0.22	0
1193	0.8	0.88	0.36	0.39	0.5	0.0	0.56	0.33	0
1194	0.74	0.67	0.47	0.34	0.5	0.0	0.42	0.22	0
1195	0.72	0.61	0.45	0.3	0.5	0.0	0.54	0.25	0
1196	0.4	0.45	0.57	0.18	0.5	0.0	0.56	0.26	0
1197	0.86	0.74	0.51	0.4	0.5	0.0	0.55	0.22	0
1198	0.79	0.57	0.41	0.28	0.5	0.0	0.59	0.22	0
1199	0.37	0.36	0.56	0.18	0.5	0.0	0.48	0.26	0
1200	0.45	0.58	0.48	0.67	0.5	0.0	0.52	0.22	0
1201	0.41	0.46	0.59	0.19	0.5	0.0	0.58	0.27	0
1202	0.54	0.48	0.44	0.08	0.5	0.0	0.52	0.27	0
1203	0.81	0.85	0.47	0.37	0.5	0.0	0.56	0.22	0
1204	0.49	0.42	0.56	0.55	0.5	0.0	0.42	0.25	0
1205	0.63	0.53	0.54	0.4	0.5	0.0	0.5	0.22	0
1206	0.5	0.58	0.46	0.46	0.5	0.0	0.46	0.22	0
1207	0.67	0.62	0.4	0.43	0.5	0.83	0.5	0.22	0
1208	0.42	0.47	0.52	0.41	0.5	0.0	0.53	0.32	0
1209	0.33	0.43	0.64	0.16	0.5	0.0	0.52	0.52	0
1210	0.61	0.72	0.39	0.33	0.5	0.0	0.58	0.22	0
1211	0.42	0.35	0.54	0.18	0.5	0.0	0.56	0.22	0
1212	0.55	0.53	0.55	0.46	0.5	0.0	0.52	0.22	0
1213	0.67	0.62	0.54	0.43	0.5	0.0	0.53	0.22	0
1214	0.35	0.58	0.54	0.16	0.5	0.0	0.51	0.22	0
1215	0.48	0.54	0.5	0.17	0.5	0.0	0.53	0.22	0
1216	0.42	0.43	0.56	0.1	0.5	0.0	0.49	0.22	0
1217	0.49	0.47	0.53	0.16	0.5	0.0	0.48	0.27	0
1218	0.71	0.59	0.48	0.43	0.5	0.0	0.59	0.22	0
1219	0.4	0.42	0.71	0.21	0.5	0.0	0.54	0.32	0
1220	0.42	0.51	0.5	0.12	0.5	0.0	0.52	0.46	0
1221	0.48	0.64	0.61	0.23	0.5	0.0	0.6	0.22	0
1222	0.32	0.57	0.5	0.15	0.5	0.0	0.53	0.22	0
1223	0.59	0.5	0.52	0.28	0.5	0.0	0.55	0.25	0
1224	0.61	0.72	0.31	0.33	0.5	0.0	0.56	0.22	0
1225	0.52	0.56	0.54	0.53	0.5	0.0	0.45	0.22	0
1226	0.58	0.58	0.58	0.49	0.5	0.0	0.49	0.26	0
1227	0.46	0.43	0.38	0.33	0.5	0.0	0.48	0.28	0
1228	0.42	0.31	0.62	0.12	0.5	0.0	0.4	0.22	0
1229	0.49	0.46	0.45	0.45	0.5	0.0	0.52	0.22	0
1230	0.35	0.66	0.49	0.21	0.5	0.0	0.54	0.25	0
1231	0.52	0.4	0.6	0.12	0.5	0.0	0.55	0.22	0
1232	0.77	0.79	0.58	0.23	0.5	0.0	0.48	0.22	0
1233	0.78	0.74	0.58	0.25	1.0	0.0	0.53	0.22	0
1234	0.57	0.41	0.59	0.24	0.5	0.0	0.4	0.22	0
1235	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
1236	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
1237	0.4	0.56	0.48	0.14	0.5	0.0	0.47	0.22	0
1238	0.45	0.27	0.57	0.36	0.5	0.0	0.52	0.18	0
1239	0.36	0.68	0.38	0.08	0.5	0.0	0.53	0.25	0
1240	0.27	0.36	0.6	0.33	0.5	0.0	0.37	0.31	0
1241	0.23	0.2	0.53	0.2	0.5	0.0	0.44	0.22	0
1242	0.36	0.24	0.49	0.16	0.5	0.0	0.51	0.22	0
1243	0.38	0.48	0.59	0.22	0.5	0.0	0.46	0.22	0
1244	0.41	0.24	0.54	0.26	0.5	0.0	0.41	0.22	0
1245	0.5	0.51	0.52	0.09	0.5	0.0	0.48	0.25	0
1246	0.46	0.43	0.49	0.79	0.5	0.0	0.49	0.63	0
1247	0.61	0.3	0.59	0.12	0.5	0.0	0.49	0.27	0
1248	0.45	0.56	0.54	0.32	0.5	0.0	0.57	0.22	0
1249	0.71	0.56	0.39	0.27	0.5	0.0	0.52	0.22	0
1252	0.32	0.47	0.55	0.12	0.5	0.0	0.52	0.22	0
1253	0.77	0.8	0.51	0.4	1.0	0.0	0.54	0.22	0
1254	0.81	0.82	0.41	0.36	0.5	0.0	0.39	0.22	0
1255	0.69	0.6	0.51	0.13	0.5	0.83	0.52	0.22	0
1256	0.74	0.72	0.47	0.25	0.5	0.0	0.57	0.22	0
1258	0.51	0.58	0.54	0.29	0.5	0.0	0.53	0.22	0
1259	0.5	0.5	0.48	0.17	0.5	0.0	0.47	0.26	0
1260	0.45	0.42	0.52	0.2	0.5	0.0	0.5	0.25	0
1261	0.42	0.39	0.47	0.13	0.5	0.0	0.5	0.27	0
1262	0.27	0.51	0.47	0.35	0.5	0.0	0.49	0.28	0
1264	0.49	0.42	0.54	0.17	0.5	0.0	0.5	0.36	0
1265	0.34	0.66	0.51	0.16	0.5	0.0	0.47	0.33	0
1266	0.74	0.53	0.5	0.08	0.5	0.0	0.55	0.31	0
1267	0.69	0.48	0.38	0.15	0.5	0.0	0.55	0.22	0
1268	0.44	0.51	0.48	0.38	0.5	0.0	0.52	0.22	0
1269	0.58	0.45	0.48	0.24	0.5	0.0	0.52	0.37	0
1270	0.38	0.49	0.61	0.13	0.5	0.0	0.54	0.22	0
1271	0.47	0.49	0.63	0.17	0.5	0.0	0.31	0.26	0
1272	0.21	0.38	0.49	0.16	0.5	0.0	0.51	0.45	0
1273	0.57	0.59	0.5	0.58	0.5	0.0	0.53	0.22	0
1274	0.46	0.45	0.56	0.16	0.5	0.0	0.56	0.22	0
1275	0.56	0.44	0.56	0.19	0.5	0.0	0.54	0.22	0
1276	0.61	0.54	0.49	0.16	0.5	0.0	0.54	0.42	0
1277	0.66	0.62	0.52	0.17	0.5	0.0	0.49	0.22	0
1278	0.44	0.41	0.58	0.2	0.5	0.0	0.57	0.25	0
1281	0.67	0.51	0.53	0.28	0.5	0.0	0.51	0.22	0
1282	0.35	0.49	0.47	0.22	0.5	0.0	0.5	0.28	0
1284	0.42	0.32	0.61	0.13	0.5	0.0	0.14	0.27	0
1285	0.5	0.45	0.49	0.3	0.5	0.0	0.47	0.4	0
1286	0.7	0.73	0.37	0.37	0.5	0.0	0.48	0.31	0
1287	0.81	0.76	0.32	0.37	0.5	0.0	0.51	0.22	0
1288	0.85	0.56	0.33	0.38	1.0	0.0	0.55	0.25	0
1289	0.59	0.53	0.47	0.26	0.5	0.0	0.53	0.31	0
1290	0.7	0.73	0.38	0.36	0.5	0.0	0.54	0.22	0
1292	0.84	0.87	0.45	0.54	0.5	0.0	0.28	0.22	0
1293	0.43	0.45	0.54	0.14	0.5	0.0	0.5	0.31	0
1294	0.77	0.6	0.42	0.33	0.5	0.0	0.57	0.22	0
1295	0.36	0.44	0.57	0.18	0.5	0.0	0.42	0.22	0
1296	0.43	0.38	0.51	0.24	0.5	0.0	0.46	0.33	0
1298	0.68	0.5	0.55	0.65	0.5	0.0	0.46	0.31	0
1299	0.5	0.45	0.48	0.17	0.5	0.0	0.5	0.26	0
1300	0.44	0.53	0.43	0.17	0.5	0.0	0.54	0.75	0
1301	0.62	0.64	0.56	0.2	0.5	0.0	0.48	0.33	0
1302	0.46	0.32	0.58	0.17	0.5	0.0	0.61	0.25	0
1303	0.5	0.34	0.62	0.19	0.5	0.0	0.57	0.22	0
1304	0.48	0.51	0.57	0.24	0.5	0.0	0.5	0.22	0
1305	0.5	0.62	0.54	0.66	0.5	0.0	0.49	0.22	0
1306	0.7	0.53	0.42	0.22	0.5	0.0	0.51	0.28	0
1308	0.43	0.83	0.55	0.2	0.5	0.0	0.47	0.4	0
1309	0.79	0.74	0.49	0.33	0.5	0.0	0.48	0.22	0
1310	0.5	0.49	0.59	0.47	0.5	0.0	0.49	0.36	0
1311	0.43	0.39	0.59	0.13	0.5	0.0	0.41	0.43	0
1312	0.41	0.54	0.58	0.2	0.5	0.0	0.52	0.22	0
1313	0.45	0.38	0.64	0.14	0.5	0.0	0.54	0.22	0
1314	0.58	0.52	0.61	0.33	0.5	0.0	0.38	0.11	0
