	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol	quality
630	8.7	0.54	0.26	2.5	0.097	7.0	31.0	0.9976	3.27	0.6	9.3	1
631	10.4	0.28	0.54	2.7	0.105	5.0	19.0	0.9988	3.25	0.63	9.5	1
632	7.6	0.41	0.14	3.0	0.087	21.0	43.0	0.9964	3.32	0.57	10.5	1
633	10.1	0.935	0.22	3.4	0.105	11.0	86.0	1.001	3.43	0.64	11.3	1
634	7.9	0.35	0.21	1.9	0.073	46.0	102.0	0.9964	3.27	0.58	9.5	1
635	8.7	0.84	0.0	1.4	0.065	24.0	33.0	0.9954	3.27	0.55	9.7	1
636	9.6	0.88	0.28	2.4	0.086	30.0	147.0	0.9979	3.24	0.53	9.4	1
637	9.5	0.885	0.27	2.3	0.084	31.0	145.0	0.9978	3.24	0.53	9.4	1
639	8.9	0.29	0.35	1.9	0.067	25.0	57.0	0.997	3.18	1.36	10.3	1
640	9.9	0.54	0.45	2.3	0.071	16.0	40.0	0.9991	3.39	0.62	9.4	1
641	9.5	0.59	0.44	2.3	0.071	21.0	68.0	0.9992	3.46	0.63	9.5	1
642	9.9	0.54	0.45	2.3	0.071	16.0	40.0	0.9991	3.39	0.62	9.4	1
643	9.5	0.59	0.44	2.3	0.071	21.0	68.0	0.9992	3.46	0.63	9.5	1
644	9.9	0.54	0.45	2.3	0.071	16.0	40.0	0.9991	3.39	0.62	9.4	1
646	7.3	0.67	0.05	3.6	0.107	6.0	20.0	0.9972	3.4	0.63	10.1	1
647	8.3	0.845	0.01	2.2	0.07	5.0	14.0	0.9967	3.32	0.58	11.0	1
649	6.7	0.42	0.27	8.6	0.068	24.0	148.0	0.9948	3.16	0.57	11.3	1
650	10.7	0.43	0.39	2.2	0.106	8.0	32.0	0.9986	2.89	0.5	9.6	1
651	9.8	0.88	0.25	2.5	0.104	35.0	155.0	1.001	3.41	0.67	11.2	1
652	15.9	0.36	0.65	7.5	0.096	22.0	71.0	0.9976	2.98	0.84	14.9	1
653	9.4	0.33	0.59	2.8	0.079	9.0	30.0	0.9976	3.12	0.54	12.0	1
654	8.6	0.47	0.47	2.4	0.074	7.0	29.0	0.9979	3.08	0.46	9.5	1
655	9.7	0.55	0.17	2.9	0.087	20.0	53.0	1.0004	3.14	0.61	9.4	1
656	10.7	0.43	0.39	2.2	0.106	8.0	32.0	0.9986	2.89	0.5	9.6	1
658	7.2	0.52	0.07	1.4	0.074	5.0	20.0	0.9973	3.32	0.81	9.6	1
659	7.1	0.84	0.02	4.4	0.096	5.0	13.0	0.997	3.41	0.57	11.0	1
660	7.2	0.52	0.07	1.4	0.074	5.0	20.0	0.9973	3.32	0.81	9.6	1
661	7.5	0.42	0.31	1.6	0.08	15.0	42.0	0.9978	3.31	0.64	9.0	1
662	7.2	0.57	0.06	1.6	0.076	9.0	27.0	0.9972	3.36	0.7	9.6	1
