	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol	quality
772	9.5	0.57	0.27	2.3	0.082	23.0	144.0	0.99782	3.27	0.55	9.4	1
773	7.9	0.4	0.29	1.8	0.157	1.0	44.0	0.9973	3.3	0.92	9.5	1
774	7.9	0.4	0.3	1.8	0.157	2.0	45.0	0.99727	3.31	0.91	9.5	1
775	7.2	1.0	0.0	3.0	0.102	7.0	16.0	0.99586	3.43	0.46	10.0	1
776	6.9	0.765	0.18	2.4	0.243	5.5	48.0	0.99612	3.4	0.6	10.3	1
777	6.9	0.635	0.17	2.4	0.241	6.0	18.0	0.9961	3.4	0.59	10.3	1
778	8.3	0.43	0.3	3.4	0.079	7.0	34.0	0.99788	3.36	0.61	10.5	1
779	7.1	0.52	0.03	2.6	0.076	21.0	92.0	0.99745	3.5	0.6	9.8	1
780	7.0	0.57	0.0	2.0	0.19	12.0	45.0	0.99676	3.31	0.6	9.4	1
781	6.5	0.46	0.14	2.4	0.114	9.0	37.0	0.99732	3.66	0.65	9.8	1
782	9.0	0.82	0.05	2.4	0.081	26.0	96.0	0.99814	3.36	0.53	10.0	1
783	6.5	0.46	0.14	2.4	0.114	9.0	37.0	0.99732	3.66	0.65	9.8	1
784	7.1	0.59	0.01	2.5	0.077	20.0	85.0	0.99746	3.55	0.59	9.8	1
785	9.9	0.35	0.41	2.3	0.083	11.0	61.0	0.9982	3.21	0.5	9.5	1
786	9.9	0.35	0.41	2.3	0.083	11.0	61.0	0.9982	3.21	0.5	9.5	1
787	10.0	0.56	0.24	2.2	0.079	19.0	58.0	0.9991	3.18	0.56	10.1	1
788	10.0	0.56	0.24	2.2	0.079	19.0	58.0	0.9991	3.18	0.56	10.1	1
789	8.6	0.63	0.17	2.9	0.099	21.0	119.0	0.998	3.09	0.52	9.3	1
790	7.4	0.37	0.43	2.6	0.082	18.0	82.0	0.99708	3.33	0.68	9.7	1
791	8.8	0.64	0.17	2.9	0.084	25.0	130.0	0.99818	3.23	0.54	9.6	1
