	1	2	3	4	5	6	7	8	9	label
67	1.51777898	13.21045	2.81074	1.29152	72.9796	0.50922	9.02384	0.0	0.459	1
68	1.5219705	14.3609	3.84793	0.89027	71.3612	0.14904	9.15296	0.0	0.0	1
69	1.5190091	13.48975	3.47975	1.3493	71.9492	0.55269	9.00232	0.0	0.0	1
70	1.51848516	13.6427	3.87038	1.26905	71.9604	0.54027	8.32444	0.0	0.1632	1
71	1.51818902	13.7225	0.0	0.55964	74.4524	0.0	10.99292	0.0	0.0	1
72	1.51663998	12.93115	3.53812	1.61894	72.9572	0.63963	8.03392	0.0	0.1071	1
73	1.51709558	12.99765	3.47077	1.78907	72.722	0.65826	8.18456	0.0	0.0	1
74	1.51689056	12.6718	2.87809	1.70882	73.2092	0.73278	8.53964	0.0	0.0	1
75	1.5266404	11.22875	0.0	0.7715	73.2092	0.0	14.6836	0.0	0.0	1
76	1.51850794	13.19715	3.62792	1.07003	72.8284	0.57132	8.41052	0.09135	0.0867	1
77	1.51812068	12.95775	2.95891	1.42955	72.918	0.60237	8.78712	0.1386	0.0	1
78	1.51645774	13.40995	3.55159	1.24979	72.8116	0.6831	8.09848	0.0	0.0	1
79	1.51629828	12.7117	3.33158	1.49054	73.282	0.67068	8.23836	0.0	0.0	1
80	1.52725546	13.8023	3.15198	0.65915	70.5716	0.08073	11.63852	0.0	0.0	1
81	1.51891798	13.46315	3.82997	1.25942	72.5484	0.57132	8.20608	0.0	0.0714	1
82	1.51871296	12.93115	3.65935	1.56116	72.5092	0.57753	8.5504	0.0	0.0612	1
184	1.51916856	14.1481	0.0	2.09081	72.7388	0.0	10.88532	0.0	0.0	0
185	1.51613882	13.8821	1.77804	1.78907	73.0972	0.0	8.66876	0.75915	0.0	0
186	1.51509094	15.15225	0.0	2.25131	73.5004	0.0	8.3352	0.63	0.0	0
187	1.52247166	14.85965	2.2001	2.05871	70.258	0.75762	9.75552	0.0	0.0	0
188	1.51652608	11.94695	0.0	1.1888	75.1804	2.70135	8.927	0.0	0.0	0
