	1	2	3	4	5	6	7	8	9	label
99	1.5159338	13.09075	3.52016	1.55153	72.8676	0.6831	8.04468	0.0	0.459	1
100	1.51588824	13.11735	3.40791	1.58042	73.2596	0.06831	8.389	0.0	0.0969	1
101	1.51818902	12.6186	2.76135	0.82928	73.8084	0.34776	9.42196	0.0	0.102	1
102	1.51846238	13.0974	3.96916	1.1888	72.442	0.60237	8.43204	0.0	0.0	1
103	1.52080872	13.78235	2.28092	1.42955	71.9884	0.49059	9.85236	0.0	0.0867	1
104	1.51711836	12.89125	3.61894	1.57079	72.9572	0.60858	8.10924	0.0	0.0	1
105	1.51613882	13.922	3.52016	1.24979	72.8788	0.3726	7.93708	0.0	0.0714	1
106	1.51591102	12.858	3.52016	2.1197	72.6604	0.68931	7.96936	0.0	0.0	1
107	1.51841682	13.0176	3.61894	1.0604	72.3412	0.63963	9.13144	0.0	0.0765	1
108	1.52408904	13.8289	2.90054	1.16954	71.1484	0.08073	10.78848	0.0	0.0	1
109	1.51652608	13.5629	3.56955	1.47128	72.4476	0.63963	7.9586	0.0	0.0	1
110	1.5184396	13.25035	3.75813	1.32041	72.4028	0.57753	8.42128	0.0	0.0	1
111	1.51812068	13.4299	3.97814	1.17917	72.4924	0.57753	8.15228	0.0	0.0	1
112	1.51632106	13.3368	3.56955	1.57079	72.8676	0.60858	7.89404	0.0	0.0	1
113	1.51645774	13.4033	3.48873	1.51943	72.6492	0.67068	8.07696	0.0	0.051	1
114	1.52222108	14.4274	0.0	0.99941	72.6716	0.09936	11.52016	0.0	0.0408	1
194	1.51545542	14.14145	0.0	2.68145	73.3884	0.08073	9.06688	0.6111	0.0255	0
195	1.5165033	14.38085	0.0	1.93994	73.6124	0.0	8.47508	1.5687	0.0	0
196	1.51682222	14.5604	0.0	1.97846	73.2876	0.0	8.51812	1.5687	0.0357	0
197	1.51645774	14.93945	0.0	1.86932	73.1084	0.0	8.66876	1.3797	0.0	0
198	1.5171867	14.75325	0.0	2.00093	73.0188	0.0	8.52888	1.59075	0.0408	0
