	Mcg	Gvh	Alm	Mit	Erl	Vac	Nuc	Label
43	0.49	0.31	0.49	0.35	0.5	0.51	0.29	0
44	0.38	0.37	0.56	0.21	0.5	0.49	0.22	0
45	0.56	0.52	0.48	0.17	0.5	0.46	0.22	0
46	0.58	0.56	0.45	0.12	0.5	0.51	0.22	0
47	0.53	0.38	0.66	0.25	0.5	0.43	0.22	0
48	0.34	0.36	0.54	0.11	0.5	0.36	0.21	0
49	0.41	0.45	0.53	0.17	0.5	0.51	0.25	0
50	0.31	0.46	0.54	0.52	0.5	0.5	0.34	0
51	0.59	0.58	0.56	0.21	0.5	0.54	0.33	0
52	0.39	0.28	0.46	0.12	0.5	0.41	0.22	0
53	0.56	0.43	0.54	0.16	0.5	0.5	0.22	0
54	0.27	0.36	0.6	0.33	0.5	0.37	0.31	0
55	0.35	0.4	0.59	0.22	0.5	0.47	0.37	0
56	0.42	0.32	0.5	0.21	0.5	0.51	0.22	0
57	0.23	0.2	0.53	0.2	0.5	0.44	0.22	0
58	0.55	0.54	0.56	0.22	0.5	0.5	0.37	0
59	0.36	0.24	0.49	0.16	0.5	0.51	0.22	0
60	0.6	0.56	0.47	0.2	0.5	0.5	0.38	0
61	0.41	0.24	0.54	0.26	0.5	0.41	0.22	0
62	0.43	0.39	0.54	0.14	0.5	0.47	0.22	0
63	0.5	0.51	0.52	0.09	0.5	0.48	0.25	0
64	0.53	0.61	0.52	0.21	0.5	0.55	0.3	0
65	0.46	0.43	0.49	0.79	0.5	0.49	0.63	0
66	0.61	0.3	0.59	0.12	0.5	0.49	0.27	0
67	0.37	0.53	0.46	0.23	0.5	0.47	0.22	0
68	0.35	0.39	0.57	0.11	0.5	0.48	0.22	0
69	0.55	0.46	0.46	0.31	0.5	0.58	0.48	0
70	0.35	0.6	0.47	0.13	0.5	0.52	0.43	0
71	0.33	0.44	0.49	0.08	0.5	0.48	0.49	0
72	0.54	0.57	0.52	0.19	0.5	0.59	0.67	0
73	0.37	0.43	0.62	0.27	0.5	0.48	0.22	0
74	0.56	0.59	0.53	0.16	0.5	0.24	0.42	0
75	0.44	0.44	0.49	0.15	0.5	0.46	0.27	0
76	0.6	0.6	0.49	0.3	0.5	0.53	0.22	0
77	0.35	0.68	0.57	0.4	0.5	0.53	0.36	0
78	0.23	0.3	0.58	0.22	0.5	0.48	0.27	0
79	0.56	0.54	0.59	0.14	0.5	0.52	0.27	0
80	0.31	0.31	0.54	0.18	0.5	0.52	0.29	0
81	0.27	0.51	0.47	0.35	0.5	0.49	0.28	0
82	0.54	0.56	0.57	0.18	0.5	0.45	0.25	0
83	0.17	0.38	0.45	0.09	0.5	0.54	0.27	0
84	0.43	0.51	0.54	0.15	0.5	0.45	0.26	0
85	0.43	0.54	0.58	0.16	0.5	0.5	0.36	0
432	0.36	0.68	0.38	0.08	0.5	0.53	0.25	1
433	0.42	0.32	0.48	0.16	0.5	0.55	0.22	1
434	0.28	0.46	0.26	0.18	0.5	0.39	0.22	1
