	a1	a2	a3	a4	a5	a6	a7	Label
122	17	39	48	5	53	3	39	0
123	4	31	48	5	41	29	39	0
124	61	36	48	5	49	35	44	0
125	34	51	48	5	44	37	46	0
126	28	33	48	5	45	22	33	0
127	4	46	48	5	42	35	44	0
128	23	34	48	5	43	26	37	0
129	37	44	48	5	42	39	47	0
130	0	38	48	5	42	48	55	0
131	39	31	48	5	38	34	43	0
132	3	44	48	5	49	22	33	0
133	27	3	48	5	71	28	39	0
134	17	52	48	5	49	37	46	0
135	36	42	48	5	53	32	41	0
136	3	37	48	5	43	18	3	0
137	26	4	48	5	36	26	37	0
138	4	41	48	5	55	22	33	0
139	22	34	48	5	42	29	39	0
140	44	35	48	5	44	52	59	0
141	27	42	48	5	37	38	43	0
142	16	43	48	5	54	27	37	0
143	85	53	48	5	53	52	35	0
144	63	49	48	5	54	76	79	0
145	75	55	1	1	4	47	3	0
146	7	39	1	5	51	82	84	0
147	72	42	48	5	65	77	79	0
148	79	41	48	5	66	81	83	0
149	83	48	48	5	65	76	79	0
150	69	43	48	5	59	74	77	0
151	79	36	48	5	46	82	7	0
152	78	33	48	5	57	77	79	0
153	75	37	48	5	64	7	74	0
154	59	29	48	5	64	75	77	0
155	67	37	48	5	54	64	68	0
156	66	48	48	5	54	7	74	0
157	64	46	48	5	48	73	76	0
158	76	71	48	5	5	71	75	0
159	84	49	48	5	55	78	74	0
160	77	55	48	5	51	78	74	0
161	81	44	48	5	42	67	68	0
